timestamp,test-class,test-method,time,description,result
2021-06-02 12:43:31.978,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9778,"[1] recordIndex=0, title=T, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 12:43:42.135,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9789,"[2] recordIndex=0, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 12:43:49.3,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6796,"[3] recordIndex=0, title=Tarea4, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",Expected value 'Tarea4' in attribute 0 of record 0, but found 'TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe'
2021-06-02 12:43:56.355,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6628,"[4] recordIndex=0, title=TareaTEST4, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=1.00, description=esto es algo, optionalLink=null",Expected value 'TareaTEST4' in attribute 0 of record 0, but found 'TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe'
2021-06-02 12:44:02.614,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5874,"[5] recordIndex=0, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=estoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoe…, optionalLink=null",Expected value 'TareaTEST5' in attribute 0 of record 0, but found 'TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe'
2021-06-02 12:44:08.612,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5611,"[6] recordIndex=0, title=TareaTEST6, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",Expected value 'TareaTEST6' in attribute 0 of record 0, but found 'TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe'
2021-06-02 12:44:14.554,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5532,"[1] recordIndex=0, title=null, start=null, end=null, workload=null, description=null, optionalLink=null",OK
2021-06-02 12:44:20.611,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5687,"[2] recordIndex=1, title=null, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 12:44:26.76,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5791,"[3] recordIndex=2, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTest, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 12:44:33.032,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5873,"[4] recordIndex=3, title=viagraTEST, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 12:44:39.048,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5612,"[5] recordIndex=4, title=TareaTEST2, start=null, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 12:44:45.172,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5769,"[6] recordIndex=5, title=TareaTEST3, start=2018/07/10 00:00, end=null, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 12:44:51.352,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5761,"[7] recordIndex=6, title=TareaTEST3, start=2018/07/10 00:00, end=2018/07/09 18:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 12:44:57.41,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5656,"[8] recordIndex=7, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=null, description=esto es algo, optionalLink=null",OK
2021-06-02 12:45:03.706,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5866,"[9] recordIndex=8, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=0.00, description=esto es algo, optionalLink=null",OK
2021-06-02 12:45:09.785,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5684,"[10] recordIndex=9, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=-1.00, description=esto es algo, optionalLink=null",OK
2021-06-02 12:45:15.991,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5803,"[11] recordIndex=10, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=100.00, description=esto es algo, optionalLink=null",OK
2021-06-02 12:45:22.089,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5713,"[12] recordIndex=11, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=null, optionalLink=null",OK
2021-06-02 12:45:28.258,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5757,"[13] recordIndex=12, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=esto es nigeria, optionalLink=null",OK
