timestamp,test-class,test-method,time,description,result
2021-06-02 13:37:18.872,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,11565,"[1] recordIndex=0, title=T, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:37:29.558,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,10250,"[2] recordIndex=0, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:37:33.287,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,3376,"[3] recordIndex=9, title=TareaTEST3, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",Record index 9 is out of range
2021-06-02 13:37:37.024,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,3367,"[4] recordIndex=9, title=TareaTEST4, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=1.00, description=esto es algo, optionalLink=null",Record index 9 is out of range
2021-06-02 13:37:44.889,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,7463,"[5] recordIndex=2, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=EsAlgoestoEsAlgEsAlgoestoEsAlgoeoestoEsAlgoestoEsAlgoe, optionalLink=null",Expected value 'TareaTEST5' in attribute 0 of record 2, but found 'Tarea 4'
2021-06-02 13:37:55.047,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,9742,"[6] recordIndex=2, title=TareaTEST6, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:38:01.859,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6454,"[1] recordIndex=0, title=null, start=null, end=null, workload=null, description=null, optionalLink=null",OK
2021-06-02 13:38:08.971,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6725,"[2] recordIndex=1, title=null, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:38:16.347,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6838,"[3] recordIndex=2, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTest, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:38:23.435,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6692,"[4] recordIndex=3, title=viagraTEST, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:38:30.85,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6733,"[5] recordIndex=4, title=TareaTEST2, start=null, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:38:37.808,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6596,"[6] recordIndex=5, title=TareaTEST3, start=2018/07/10 00:00, end=null, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:38:45.537,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,7329,"[7] recordIndex=6, title=TareaTEST3, start=2018/07/10 00:00, end=2018/07/09 18:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:38:52.809,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6864,"[8] recordIndex=7, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=null, description=esto es algo, optionalLink=null",OK
2021-06-02 13:38:56.883,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,3586,"[9] recordIndex=8, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=0.00, description=esto es algo, optionalLink=null",Record index 8 is out of range
2021-06-02 13:39:01.047,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,3614,"[10] recordIndex=9, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=-1.00, description=esto es algo, optionalLink=null",Record index 9 is out of range
2021-06-02 13:39:05.09,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,3519,"[11] recordIndex=10, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=100.00, description=esto es algo, optionalLink=null",Record index 10 is out of range
2021-06-02 13:39:09.041,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,3454,"[12] recordIndex=11, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=null, optionalLink=null",Record index 11 is out of range
2021-06-02 13:39:13.064,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,3501,"[13] recordIndex=12, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=esto es nigeria, optionalLink=null",Record index 12 is out of range
2021-06-02 13:39:17.611,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,4077,"[14] recordIndex=13, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=estoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoe…, optionalLink=null",Record index 13 is out of range
2021-06-02 13:39:21.555,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,3496,"[15] recordIndex=14, title=TareaTEST6, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=15.00, description=esto es algo, optionalLink=urlfalsa",Record index 14 is out of range
