timestamp,test-class,test-method,time,description,result
2021-05-31 18:37:23.516,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,10000,"[1] recordIndex=0, title=T, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-05-31 18:37:33.462,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9461,"[2] recordIndex=0, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-05-31 18:37:40.414,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6597,"[3] recordIndex=56, title=TareaTEST2, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",Record index 56 is out of range
2021-05-31 18:37:46.961,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6143,"[4] recordIndex=57, title=TareaTEST3, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",Record index 57 is out of range
2021-05-31 18:37:54.028,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6654,"[5] recordIndex=58, title=TareaTEST4, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=1.00, description=esto es algo, optionalLink=null",Record index 58 is out of range
2021-05-31 18:38:00.337,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5852,"[6] recordIndex=59, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=estoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoe…, optionalLink=null",Record index 59 is out of range
2021-05-31 18:38:06.342,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5601,"[7] recordIndex=60, title=TareaTEST6, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",Record index 60 is out of range
2021-05-31 18:38:12.485,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5739,"[1] recordIndex=0, title=null, start=null, end=null, workload=null, description=null, optionalLink=null",OK
2021-05-31 18:38:19.102,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5926,"[2] recordIndex=1, title=null, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-05-31 18:38:25.32,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5860,"[3] recordIndex=2, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTest, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
