timestamp,test-class,test-method,time,description,result
2021-06-02 13:27:07.69,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,10531,"[1] recordIndex=0, title=T, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:27:17.586,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9482,"[2] recordIndex=0, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:27:26.958,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8984,"[3] recordIndex=9, title=TareaTEST3, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:27:36.901,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9545,"[4] recordIndex=9, title=TareaTEST4, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=1.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:27:43.906,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6595,"[5] recordIndex=3, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=EsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoe, optionalLink=null",Expected value 'TareaTEST5' in attribute 0 of record 3, but found 'Tarea 8'
2021-06-02 13:27:53.691,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,9435,"[6] recordIndex=2, title=TareaTEST6, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:27:59.604,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5573,"[1] recordIndex=0, title=null, start=null, end=null, workload=null, description=null, optionalLink=null",OK
2021-06-02 13:28:05.869,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5908,"[2] recordIndex=1, title=null, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:28:12.024,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5801,"[3] recordIndex=2, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTest, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:28:18.012,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5646,"[4] recordIndex=3, title=viagraTEST, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:28:24.056,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5688,"[5] recordIndex=4, title=TareaTEST2, start=null, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:28:30.073,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5661,"[6] recordIndex=5, title=TareaTEST3, start=2018/07/10 00:00, end=null, workload=15.00, description=esto es algo, optionalLink=null",OK
