timestamp,test-class,test-method,time,description,result
2021-06-02 13:42:14.427,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,10953,"[1] recordIndex=0, title=T, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:42:25.308,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,10497,"[2] recordIndex=0, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:42:32.916,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,7166,"[3] recordIndex=0, title=TareaTEST3, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",Expected value 'TareaTEST3' in attribute 0 of record 0, but found 'Tarea 4'
2021-06-02 13:42:41.408,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,8048,"[4] recordIndex=0, title=TareaTEST4, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=1.00, description=esto es algo, optionalLink=null",Expected value 'TareaTEST4' in attribute 0 of record 0, but found 'Tarea 1'
2021-06-02 13:42:51.869,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,10139,"[5] recordIndex=0, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=EsAlgoestoEsAlgEsAlgoestoEsAlgoeoestoEsAlgoestoEsAlgoe, optionalLink=null",OK
2021-06-02 13:43:02.359,acme.testing.manager.task.ManagerTaskUpdateTest,updatePositive,10123,"[6] recordIndex=0, title=TareaTEST6, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-06-02 13:43:09.185,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6414,"[1] recordIndex=0, title=null, start=null, end=null, workload=null, description=null, optionalLink=null",OK
2021-06-02 13:43:15.968,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6440,"[2] recordIndex=0, title=null, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:43:22.828,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6476,"[3] recordIndex=0, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTest, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-06-02 13:43:29.604,acme.testing.manager.task.ManagerTaskUpdateTest,updateNegative,6425,"[4] recordIndex=0, title=viagraTEST, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
