timestamp,test-class,test-method,time,description,result
2021-05-31 14:23:35.517,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,30686,"[1] recordIndex=0, title=T, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",OK
2021-05-31 14:23:44.637,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,8557,"[2] recordIndex=1, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",Expected value 'TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTe' in attribute 0 of record 1, but found 'T'
2021-05-31 14:23:51.687,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6669,"[3] recordIndex=2, title=TareaTEST2, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",Expected value 'TareaTEST2' in attribute 0 of record 2, but found 'Tarea 8'
2021-05-31 14:23:58.799,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6740,"[4] recordIndex=3, title=TareaTEST3, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",Expected value 'TareaTEST3' in attribute 0 of record 3, but found 'Tarea 4'
2021-05-31 14:24:05.957,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,6716,"[5] recordIndex=4, title=TareaTEST4, start=2021/11/09 00:00, end=2021/12/18 18:00, workload=1.00, description=esto es algo, optionalLink=null",Expected value 'TareaTEST4' in attribute 0 of record 4, but found 'Tarea 1'
2021-05-31 14:24:12.228,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5821,"[6] recordIndex=5, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=estoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoe…, optionalLink=null",Expected value 'TareaTEST5' in attribute 0 of record 5, but found 'Tarea 2'
2021-05-31 14:24:18.505,acme.testing.manager.task.ManagerTaskCreateTest,createPositive,5868,"[7] recordIndex=6, title=TareaTEST6, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=15.00, description=esto es algo, optionalLink=http://www.ejemplotest.org",Expected value 'TareaTEST6' in attribute 0 of record 6, but found 'Tarea 3'
2021-05-31 14:24:24.548,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5631,"[1] recordIndex=0, title=null, start=null, end=null, workload=null, description=null, optionalLink=null",OK
2021-05-31 14:24:31.226,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6297,"[2] recordIndex=0, title=null, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-05-31 14:24:39.051,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5915,"[3] recordIndex=0, title=TareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTestTareaTest, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-05-31 14:24:45.347,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5893,"[4] recordIndex=0, title=viagraTEST, start=2021/06/05 00:00, end=2021/08/07 16:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-05-31 14:24:51.757,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5952,"[5] recordIndex=0, title=TareaTEST2, start=null, end=2021/12/18 18:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-05-31 14:24:57.939,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5745,"[6] recordIndex=0, title=TareaTEST3, start=2018/07/10 00:00, end=null, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-05-31 14:25:04.174,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5857,"[7] recordIndex=0, title=TareaTEST3, start=2018/07/10 00:00, end=2018/07/09 18:00, workload=15.00, description=esto es algo, optionalLink=null",OK
2021-05-31 14:25:10.566,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5838,"[8] recordIndex=0, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=null, description=esto es algo, optionalLink=null",OK
2021-05-31 14:25:16.773,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5787,"[9] recordIndex=0, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=0.00, description=esto es algo, optionalLink=null",OK
2021-05-31 14:25:22.906,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5739,"[10] recordIndex=0, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=-1.00, description=esto es algo, optionalLink=null",OK
2021-05-31 14:25:28.971,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5698,"[11] recordIndex=0, title=TareaTEST4, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=100.00, description=esto es algo, optionalLink=null",OK
2021-05-31 14:25:35.017,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5686,"[12] recordIndex=0, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=null, optionalLink=null",OK
2021-05-31 14:25:41.184,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5712,"[13] recordIndex=0, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=esto es nigeria, optionalLink=null",OK
2021-05-31 14:25:47.531,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5962,"[14] recordIndex=0, title=TareaTEST5, start=2021/07/10 00:00, end=2021/07/10 18:00, workload=15.00, description=estoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoestoEsAlgoe…, optionalLink=null",OK
2021-05-31 14:25:53.577,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5671,"[15] recordIndex=0, title=TareaTEST6, start=2021/07/10 00:00, end=2018/07/10 18:00, workload=15.00, description=esto es algo, optionalLink=urlfalsa",OK
